BATCH,ANIMAL.ID,STRAIN,TREATMENT,TotDist,MovTime,VMovNo,MrgDist,CtrDist,PctCenter
35,655,MA/MyJ,SHAM,4059,329.8,150,2714,1345,26.2167
35,656,MA/MyJ,OVX,3880,285.4,115,2761,1119,20.5
35,657,RIIIS/J,SHAM,3861,258.3,107,2712,1150,12.25
35,658,RIIIS/J,SHAM,2922,271,90,2014,907,18
35,659,RIIIS/J,OVX,3203,233.9,136,2401,801,14.5833
35,660,RIIIS/J,OVX,3318,214,85,2590,729,10.2167
35,661,RIIIS/J,OVX,2473,205.3,84,1865,608,12.6667
35,662,PERA/EiJ,SHAM,1583,128.2,67,1045,538,12.9667
35,663,PERA/EiJ,OVX,1082,105.2,53,911,170,8.6167
35,664,PERA/EiJ,OVX,1689,141.5,76,1386,303,4.4167
35,665,PERA/EiJ,SHAM,1334,133.6,63,1068,266,7.6833
35B,666,I/LnJ,OVX,1417,136,20,816,602,14.2167
35B,667,I/LnJ,SHAM,2483,203.9,75,1374,1110,18.7667
35B,668,I/LnJ,OVX,1985,153.6,67,1297,688,7.5833
35B,669,I/LnJ,SHAM,2539,196.6,54,1484,1055,15.1667
36,670,KK/HIJ,SHAM,1974,192.8,36,1630,343,10.9167
36,671,KK/HIJ,OVX,882,94,21,795,88,2.35
36,672,KK/HIJ,OVX,1085,121.1,16,890,193,7.3333
36,673,KK/HIJ,OVX,1242,117.4,26,1002,240,15.2
36,674,MA/MyJ,SHAM,3704,278.6,118,2198,1503,18.3833
36,675,MA/MyJ,SHAM,5233,400.4,149,3188,2045,27.0667
36,676,MA/MyJ,OVX,5831,368,132,4533,1297,14.1
36,677,MA/MyJ,SHAM,4171,306.1,0,2999,1172,17.9
36,678,RIIIS/J,OVX,3388,249.8,102,2596,791,8.6167
36,679,RIIIS/J,SHAM,2631,232.6,61,2030,601,9.7833
36,680,RIIIS/J,SHAM,2945,218.5,94,2115,831,11.5
36,681,RIIIS/J,OVX,2425,200.7,72,1824,603,8.85
36,682,PERA/EiJ,SHAM,1233,117.1,46,986,249,7.4667
36,683,PERA/EiJ,OVX,1313,138.1,65,1108,204,4.6667
36,684,PERA/EiJ,OVX,1121,106,54,878,242,5.2833
36,685,PERA/EiJ,SHAM,1300,119.6,81,887,414,9.5167
37,686,MA/MyJ,SHAM,2753,241,112,1872,881,22
37,687,MA/MyJ,SHAM,3842,295.7,126,2333,1508,29.55
37,688,MA/MyJ,OVX,3686,278.9,125,2489,1197,15.9833
37,689,MA/MyJ,OVX,2777,221.3,101,1634,1144,23.2333
37,690,ZALENDE/EiJ,SHAM,2882,174.3,118,2134,747,12.3
37,691,ZALENDE/EiJ,OVX,3090,205.9,68,2809,279,5.45
37,692,ZALENDE/EiJ,SHAM,3006,214.9,112,2118,888,15.7
37,693,ZALENDE/EiJ,OVX,2649,175.1,91,2084,565,10.55
38,694,P/J,SHAM,1964,199.7,64,1694,271,7.1167
38,695,P/J,OVX,2761,196.2,115,2013,750,16.0167
38,696,P/J,SHAM,2218,189,99,1783,436,7.95
38,697,P/J,OVX,1481,151.3,46,1385,94,2.95
38,698,P/J,OVX,2364,215.5,73,1804,562,11.1167
38,699,P/J,SHAM,2668,230.1,100,2096,571,12.0667
38,700,P/J,SHAM,3101,264.4,114,2295,807,12.9833
38,701,P/J,OVX,2897,236.2,73,2318,578,7.3167
38,702,WSB/EiJ,SHAM,4530,327.1,78,3513,1016,12.75
38,703,WSB/EiJ,OVX,4636,278.9,98,3915,721,5.1667
38,704,WSB/EiJ,SHAM,3785,317,93,2761,1026,15.8333
38,705,WSB/EiJ,OVX,3126,238.4,82,2481,647,8.1
39,706,SWR/J,OVX,2121,199,112,1488,634,14.4667
39,707,SWR/J,SHAM,2402,212.5,110,1701,701,14.5333
39,708,SWR/J,SHAM,1875,184.5,126,1130,746,20.0667
39,709,SWR/J,OVX,1834,180,107,1459,375,7.45
39,710,SWR/J,OVX,1758,178.7,88,1327,432,8.1667
39,711,SWR/J,SHAM,2458,211.5,115,1304,1152,24.8333
39,712,C57BL/6J,OVX,2728,228.7,90,2045,684,14.6667
39,713,C57BL/6J,SHAM,2671,225.1,100,1975,694,17.7833
39,714,BALB/cByJ,OVX,2279,205.8,33,1991,287,4.8833
39,715,BALB/cByJ,OVX,1478,136,12,1452,26,1.35
39,716,BALB/cByJ,OVX,2056,207.5,34,1910,145,3.5333
39,717,BALB/cByJ,SHAM,2647,207.3,75,2027,620,9.1
39,718,BALB/cByJ,SHAM,2156,198.9,46,1638,516,11.1
39,719,LG/J,SHAM,2837,225.5,146,1762,1075,21.1333
39,720,LG/J,OVX,446,68.8,38,446,0,0
39,721,LG/J,SHAM,1863,230.3,27,1649,215,10.1833
39,722,LG/J,OVX,2010,213.2,59,1701,308,9.2833
39,723,SEA/GnJ,SHAM,1301,120,31,1032,268,32.0833
39,724,SEA/GnJ,SHAM,1000,104.8,32,949,50,7.95
39,725,SEA/GnJ,OVX,540,66.6,9,539,1,0.1167
39,726,SEA/GnJ,OVX,1372,125.7,21,1321,52,2.5667
39,727,WSB/EiJ,OVX,3280,216.2,83,2530,749,7.7667
39,728,WSB/EiJ,SHAM,4868,331.5,91,3897,973,10.75
39,729,WSB/EiJ,OVX,4182,309.6,96,3540,643,8.0333
39,730,WSB/EiJ,SHAM,6428,400.8,99,4877,1552,15.4
39B,731,LG/J,SHAM,2608,238.2,137,1885,724,16.4333
39B,732,LG/J,OVX,1109,179.9,19,1106,3,0.3167
39B,733,LG/J,OVX,1834,212.7,66,1647,186,4.9333
39B,734,LG/J,SHAM,2176,213.8,132,1642,536,11.5833
40,735,C57BR/cdJ,OVX,3758,328,83,2262,1496,23.45
40,736,C57BR/cdJ,SHAM,4308,288.6,121,2434,1874,28.0833
